Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-08-04 18:20:00,"2,428.8",884.4,137,"1,543.2",0
2020-08-04 18:15:00,"4,114.8",994.8,137,"3,120",0
2020-08-04 18:10:00,"2,026.8","1,128",137,897.6,0
2020-08-04 18:05:00,"3,506.4","1,368",137,"2,138.4",0
2020-08-04 18:00:00,"4,102.8","1,707.6",137,"2,395.2",0
2020-08-04 17:55:00,"3,900",915.6,137,"2,983.2",0
2020-08-04 17:50:00,"2,288.4","1,360.8",137,927.6,0
2020-08-04 17:45:00,"1,462.8","1,711.2",137,0,248.4
2020-08-04 17:40:00,"2,395.2","1,480.8",137,913.2,0
2020-08-04 17:35:00,"2,376","1,117.2",137,"1,258.8",0
2020-08-04 17:30:00,"1,738.8",800.4,137,937.2,0
2020-08-04 17:25:00,"3,915.6",800.4,137,"3,114",0
2020-08-04 17:20:00,"2,584.8",604.8,137,"1,981.2",0
2020-08-04 17:15:00,"2,172",636,137,"1,536",0
2020-08-04 17:10:00,"2,222.4",757.2,137,"1,465.2",0
2020-08-04 17:05:00,"2,125.2","1,813.2",137,312,0
2020-08-04 17:00:00,"3,344.4","3,494.4",137,0,150
2020-08-04 16:55:00,"4,510.8","2,251.2",137,"2,259.6",0
2020-08-04 16:50:00,"4,706.4",853.2,137,"3,853.2",0
2020-08-04 16:45:00,"3,910.8",705.6,137,"3,205.2",0
2020-08-04 16:40:00,"2,701.2",567.6,137,"2,133.6",0
2020-08-04 16:35:00,"2,229.6",426,137,"1,803.6",0
2020-08-04 16:30:00,"2,133.6",434.4,137,"1,699.2",0
2020-08-04 16:25:00,"2,340",310.8,137,"2,029.2",0
2020-08-04 16:20:00,"2,518.8",338.4,137,"2,180.4",0
2020-08-04 16:15:00,"3,056.4",469.2,137,"2,587.2",0
2020-08-04 16:10:00,"3,488.4",535.2,137,"2,953.2",0
2020-08-04 16:05:00,"1,558.8",997.2,137,562.8,0
2020-08-04 16:00:00,910.8,"1,291.2",137,0,380.4
2020-08-04 15:55:00,782.4,"2,268",137,0,"1,485.6"
2020-08-04 15:50:00,895.2,"4,672.8",137,0,"3,776.4"
2020-08-04 15:45:00,943.2,"4,516.8",137,0,"3,572.4"
2020-08-04 15:40:00,"2,266.8","6,716.4",137,0,"4,450.8"
2020-08-04 15:35:00,"1,767.6","6,013.2",137,0,"4,245.6"
2020-08-04 15:30:00,615.6,"3,220.8",137,0,"2,605.2"
2020-08-04 15:25:00,410.4,"5,337.6",137,0,"4,926"
2020-08-04 15:20:00,788.4,"2,362.8",137,0,"1,573.2"
2020-08-04 15:15:00,858,"1,832.4",137,0,974.4
2020-08-04 15:10:00,841.2,"1,554",137,0,711.6
2020-08-04 15:05:00,480,"1,712.4",137,0,"1,232.4"
2020-08-04 15:00:00,"1,105.2","5,563.2",137,0,"4,458"
2020-08-04 14:55:00,432,"5,192.4",137,0,"4,760.4"
2020-08-04 14:50:00,609.6,"3,692.4",138,0,"3,082.8"
2020-08-04 14:45:00,456,"6,600",138,0,"6,144"
2020-08-04 14:40:00,273.6,"6,540",138,0,"6,266.4"
2020-08-04 14:35:00,141.6,"7,438.8",138,0,"7,297.2"
2020-08-04 14:30:00,376.8,"7,249.2",138,0,"6,873.6"
2020-08-04 14:25:00,730.8,"7,146",138,0,"6,415.2"
2020-08-04 14:20:00,720,"7,488",138,0,"6,768"
2020-08-04 14:15:00,168,"7,662",138,0,"7,494"
2020-08-04 14:10:00,186,"4,724.4",138,0,"4,538.4"
2020-08-04 14:05:00,177.6,"4,794",138,0,"4,616.4"
2020-08-04 14:00:00,141.6,"5,995.2",138,0,"5,853.6"
2020-08-04 13:55:00,141.6,"5,911.2",138,0,"5,769.6"
2020-08-04 13:50:00,285.6,"8,284.8",138,0,"7,999.2"
2020-08-04 13:45:00,"1,052.4","3,538.8",138,0,"2,486.4"
2020-08-04 13:40:00,914.4,"5,400",138,0,"4,485.6"
2020-08-04 13:35:00,188.4,"6,390",138,0,"6,202.8"
2020-08-04 13:30:00,152.4,"4,132.8",138,0,"3,980.4"
2020-08-04 13:25:00,140.4,"4,472.4",138,0,"4,332"
2020-08-04 13:20:00,140.4,"4,095.6",138,0,"3,955.2"
2020-08-04 13:15:00,158.4,"3,256.8",138,0,"3,098.4"
2020-08-04 13:10:00,314.4,"2,802",138,0,"2,487.6"
2020-08-04 13:05:00,"1,063.2","3,805.2",138,0,"2,742"
2020-08-04 13:00:00,914.4,"5,484",138,0,"4,570.8"
2020-08-04 12:55:00,140.4,"8,800.8",138,0,"8,660.4"
2020-08-04 12:50:00,152.4,"5,887.2",140,0,"5,734.8"
2020-08-04 12:45:00,142.8,"7,623.6",140,0,"7,480.8"
2020-08-04 12:40:00,177.6,"4,970.4",140,0,"4,792.8"
2020-08-04 12:35:00,170.4,"6,111.6",140,0,"5,941.2"
2020-08-04 12:30:00,256.8,"7,767.6",140,0,"7,510.8"
2020-08-04 12:25:00,777.6,"7,318.8",140,0,"6,540"
2020-08-04 12:20:00,849.6,"5,846.4",140,0,"4,996.8"
2020-08-04 12:15:00,141.6,"8,352",140,0,"8,210.4"
2020-08-04 12:10:00,147.6,"4,330.8",140,0,"4,183.2"
2020-08-04 12:05:00,169.2,"6,134.4",140,0,"5,966.4"
2020-08-04 12:00:00,169.2,"4,899.6",140,0,"4,731.6"
2020-08-04 11:55:00,"1,144.8","4,842",140,0,"3,697.2"
2020-08-04 11:50:00,"1,966.8","4,958.4",140,0,"2,991.6"
2020-08-04 11:45:00,"2,703.6","4,545.6",140,0,"1,843.2"
2020-08-04 11:40:00,"2,956.8","3,820.8",140,0,864
2020-08-04 11:35:00,"2,068.8","3,072",140,0,"1,004.4"
2020-08-04 11:30:00,"1,982.4","3,536.4",140,0,"1,554"
2020-08-04 11:25:00,"2,310","3,192",140,0,882
2020-08-04 11:20:00,"2,090.4","3,945.6",140,0,"1,855.2"
2020-08-04 11:15:00,"1,746","5,325.6",140,0,"3,579.6"
2020-08-04 11:10:00,"2,287.2","5,890.8",140,0,"3,603.6"
2020-08-04 11:05:00,"2,646","5,059.2",140,0,"2,413.2"
2020-08-04 11:00:00,"3,760.8","3,343.2",140,417.6,0
2020-08-04 10:55:00,"3,829.2","2,914.8",140,914.4,0
2020-08-04 10:50:00,681.6,"2,607.6",140,0,"1,926"
2020-08-04 10:45:00,514.8,"2,346",140,0,"1,831.2"
2020-08-04 10:40:00,639.6,"2,024.4",140,0,"1,386"
2020-08-04 10:35:00,483.6,"1,423.2",140,0,939.6
2020-08-04 10:30:00,537.6,"1,084.8",140,0,546
2020-08-04 10:25:00,"1,526.4","1,302",140,224.4,0
2020-08-04 10:20:00,"1,380","1,684.8",140,0,304.8
2020-08-04 10:15:00,592.8,"1,528.8",140,0,936
2020-08-04 10:10:00,747.6,"1,600.8",140,0,854.4
2020-08-04 10:05:00,852,"1,954.8",140,0,"1,102.8"
2020-08-04 10:00:00,984,"1,596",140,0,613.2
2020-08-04 09:55:00,"2,385.6",770.4,140,"1,614",0
2020-08-04 09:50:00,"1,666.8",756,140,909.6,0
2020-08-04 09:45:00,643.2,664.8,140,0,21.6
2020-08-04 09:40:00,"1,473.6",627.6,140,846,0
2020-08-04 09:35:00,472.8,325.2,140,146.4,0
2020-08-04 09:30:00,716.4,128.4,140,588,0
2020-08-04 09:25:00,802.8,164.4,140,638.4,0
2020-08-04 09:20:00,786,16.8,140,764.4,0
2020-08-04 09:15:00,"2,509.2",67.2,140,"2,440.8",0
2020-08-04 09:10:00,"1,441.2",151.2,140,"1,290",0
2020-08-04 09:05:00,"1,412.4",250.8,140,"1,161.6",0
2020-08-04 09:00:00,"1,304.4",393.6,140,910.8,0
2020-08-04 08:55:00,352.8,493.2,140,0,140.4
2020-08-04 08:50:00,322.8,577.2,140,0,254.4
2020-08-04 08:45:00,411.6,502.8,140,0,91.2
2020-08-04 08:40:00,"1,232.4",439.2,140,793.2,0
2020-08-04 08:35:00,"3,256.8",423.6,140,"2,834.4",0
2020-08-04 08:30:00,"3,933.6",433.2,140,"3,501.6",0
2020-08-04 08:25:00,"3,853.2",649.2,140,"3,204",0
2020-08-04 08:20:00,"3,802.8",626.4,140,"3,176.4",0
2020-08-04 08:15:00,"2,322",502.8,140,"1,819.2",0
