Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-07-26 09:45:00,159.6,"1,848",103,0,"1,687.2"
2020-07-26 09:40:00,144,"1,976.4",103,0,"1,831.2"
2020-07-26 09:35:00,165.6,"2,048.4",103,0,"1,882.8"
2020-07-26 09:30:00,190.8,"1,758",103,0,"1,567.2"
2020-07-26 09:25:00,211.2,"1,580.4",103,0,"1,370.4"
2020-07-26 09:20:00,201.6,"1,290",103,0,"1,088.4"
2020-07-26 09:15:00,198,"1,192.8",103,0,994.8
2020-07-26 09:10:00,703.2,"1,423.2",103,0,721.2
2020-07-26 09:05:00,214.8,"1,508.4",103,0,"1,293.6"
2020-07-26 09:00:00,"1,684.8","1,786.8",103,0,103.2
2020-07-26 08:55:00,"2,028","1,869.6",103,158.4,0
2020-07-26 08:50:00,691.2,"1,976.4",102,0,"1,285.2"
2020-07-26 08:45:00,117.6,"2,175.6",102,0,"2,058"
2020-07-26 08:40:00,104.4,"2,938.8",102,0,"2,834.4"
2020-07-26 08:35:00,133.2,"1,999.2",102,0,"1,866"
2020-07-26 08:30:00,764.4,782.4,102,0,18
2020-07-26 08:25:00,258,745.2,102,0,487.2
2020-07-26 08:20:00,279.6,730.8,102,0,451.2
2020-07-26 08:15:00,240,724.8,102,0,486
2020-07-26 08:10:00,800.4,626.4,102,174,0
2020-07-26 08:05:00,237.6,662.4,102,0,424.8
2020-07-26 08:00:00,266.4,678,102,0,411.6
2020-07-26 07:55:00,308.4,565.2,102,0,256.8
2020-07-26 07:50:00,872.4,594,102,278.4,0
2020-07-26 07:45:00,282,748.8,102,0,466.8
2020-07-26 07:40:00,213.6,802.8,102,0,589.2
2020-07-26 07:35:00,201.6,810,102,0,608.4
2020-07-26 07:30:00,763.2,776.4,102,0,13.2
2020-07-26 07:25:00,259.2,716.4,102,0,457.2
2020-07-26 07:20:00,295.2,657.6,102,0,361.2
2020-07-26 07:15:00,314.4,541.2,102,0,226.8
2020-07-26 07:10:00,828,397.2,102,430.8,0
2020-07-26 07:05:00,290.4,362.4,102,0,72
2020-07-26 07:00:00,290.4,376.8,102,0,85.2
2020-07-26 06:55:00,308.4,373.2,102,0,64.8
2020-07-26 06:50:00,964.8,364.8,102,601.2,0
2020-07-26 06:45:00,343.2,484.8,102,0,141.6
2020-07-26 06:40:00,"1,070.4",696,102,374.4,0
2020-07-26 06:35:00,229.2,"1,192.8",102,0,963.6
2020-07-26 06:30:00,207.6,"1,327.2",102,0,"1,119.6"
2020-07-26 06:25:00,200.4,"1,170",102,0,968.4
2020-07-26 06:20:00,"1,263.6",961.2,102,302.4,0
2020-07-26 06:15:00,322.8,709.2,102,0,386.4
2020-07-26 06:10:00,"1,108.8",242.4,102,865.2,0
2020-07-26 06:05:00,"2,618.4",75.6,102,"2,539.2",0
2020-07-26 06:00:00,"2,082",0,102,"2,071.2",0
2020-07-26 05:55:00,344.4,0,102,333.6,0
2020-07-26 05:50:00,354,0,102,348,0
2020-07-26 05:45:00,"1,508.4",0,102,"1,500",0
2020-07-26 05:40:00,"1,500",0,102,"1,496.4",0
2020-07-26 05:35:00,361.2,0,102,356.4,0
2020-07-26 05:30:00,"1,287.6",0,102,"1,284",0
2020-07-26 05:25:00,"1,494",0,102,"1,490.4",0
2020-07-26 05:20:00,"1,454.4",0,102,"1,449.6",0
2020-07-26 05:15:00,378,0,102,373.2,0
2020-07-26 05:10:00,402,0,102,398.4,0
2020-07-26 05:05:00,405.6,0,102,400.8,0
2020-07-26 05:00:00,402,0,102,398.4,0
2020-07-26 04:55:00,352.8,0,102,349.2,0
2020-07-26 04:50:00,356.4,0,102,351.6,0
2020-07-26 04:45:00,356.4,0,102,351.6,0
2020-07-26 04:40:00,400.8,0,102,397.2,0
2020-07-26 04:35:00,375.6,0,102,372,0
2020-07-26 04:30:00,372,0,102,367.2,0
2020-07-26 04:25:00,348,0,102,343.2,0
2020-07-26 04:20:00,332.4,0,102,327.6,0
2020-07-26 04:15:00,350.4,0,102,345.6,0
2020-07-26 04:10:00,366,0,102,361.2,0
2020-07-26 04:05:00,402,0,102,397.2,0
2020-07-26 04:00:00,403.2,0,102,398.4,0
2020-07-26 03:55:00,404.4,0,102,400.8,0
2020-07-26 03:50:00,358.8,0,102,354,0
2020-07-26 03:45:00,356.4,0,102,351.6,0
2020-07-26 03:40:00,357.6,0,102,352.8,0
2020-07-26 03:35:00,387.6,0,102,382.8,0
2020-07-26 03:30:00,370.8,0,102,366,0
2020-07-26 03:25:00,372,0,102,368.4,0
2020-07-26 03:20:00,361.2,0,102,356.4,0
2020-07-26 03:15:00,344.4,0,102,339.6,0
2020-07-26 03:10:00,837.6,0,102,832.8,0
2020-07-26 03:05:00,"2,245.2",0,102,"2,240.4",0
2020-07-26 03:00:00,"1,521.6",0,102,"1,516.8",0
2020-07-26 02:55:00,403.2,0,102,398.4,0
2020-07-26 02:50:00,405.6,0,102,400.8,0
2020-07-26 02:45:00,372,0,102,367.2,0
2020-07-26 02:40:00,356.4,0,102,352.8,0
2020-07-26 02:35:00,356.4,0,102,352.8,0
2020-07-26 02:30:00,364.8,0,102,360,0
2020-07-26 02:25:00,369.6,0,102,364.8,0
2020-07-26 02:20:00,370.8,0,102,366,0
2020-07-26 02:15:00,369.6,0,102,364.8,0
2020-07-26 02:10:00,349.2,0,102,344.4,0
2020-07-26 02:05:00,349.2,0,102,344.4,0
2020-07-26 02:00:00,349.2,0,102,344.4,0
2020-07-26 01:55:00,400.8,0,102,396,0
2020-07-26 01:50:00,402,0,102,397.2,0
2020-07-26 01:45:00,403.2,0,102,399.6,0
2020-07-26 01:40:00,376.8,0,102,372,0
2020-07-26 01:35:00,356.4,0,102,351.6,0
2020-07-26 01:30:00,355.2,0,102,351.6,0
2020-07-26 01:25:00,350.4,0,102,346.8,0
2020-07-26 01:20:00,368.4,0,102,364.8,0
2020-07-26 01:15:00,370.8,0,102,366,0
2020-07-26 01:10:00,380.4,0,102,375.6,0
2020-07-26 01:05:00,348,0,102,344.4,0
2020-07-26 01:00:00,349.2,0,102,344.4,0
2020-07-26 00:55:00,349.2,0,102,345.6,0
2020-07-26 00:50:00,396,0,102,391.2,0
2020-07-26 00:45:00,400.8,0,102,396,0
2020-07-26 00:40:00,402,0,102,398.4,0
2020-07-26 00:35:00,381.6,0,102,376.8,0
2020-07-26 00:30:00,356.4,0,102,351.6,0
2020-07-26 00:25:00,355.2,0,102,350.4,0
2020-07-26 00:20:00,340.8,0,102,336,0
2020-07-26 00:15:00,"1,262.4",0,102,"1,258.8",0
2020-07-26 00:10:00,"2,235.6",0,102,"2,232",0
2020-07-26 00:05:00,906,0,102,901.2,0
2020-07-26 00:00:00,348,0,102,344.4,0
2020-07-25 23:55:00,345.6,0,102,342,0
