Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-09-22 22:55:00,"1,183.2",0,241,"1,178.4",0
2020-09-22 22:50:00,"1,263.6",0,241,"1,258.8",0
2020-09-22 22:45:00,"1,204.8",0,241,"1,201.2",0
2020-09-22 22:40:00,"1,192.8",0,241,"1,189.2",0
2020-09-22 22:35:00,"1,195.2",0,241,"1,190.4",0
2020-09-22 22:30:00,"1,272",0,241,"1,268.4",0
2020-09-22 22:25:00,"1,221.6",0,241,"1,218",0
2020-09-22 22:20:00,"1,219.2",0,241,"1,214.4",0
2020-09-22 22:15:00,"1,232.4",0,241,"1,228.8",0
2020-09-22 22:10:00,"1,179.6",0,241,"1,174.8",0
2020-09-22 22:05:00,"1,153.2",0,241,"1,148.4",0
2020-09-22 22:00:00,"1,150.8",0,241,"1,146",0
2020-09-22 21:55:00,"1,227.6",0,241,"1,222.8",0
2020-09-22 21:50:00,"1,920",0,241,"1,916.4",0
2020-09-22 21:45:00,"1,248",0,241,"1,244.4",0
2020-09-22 21:40:00,"2,001.6",0,241,"1,998",0
2020-09-22 21:35:00,"2,678.4",0,241,"2,673.6",0
2020-09-22 21:30:00,"3,206.4",0,241,"3,202.8",0
2020-09-22 21:25:00,"2,550",0,241,"2,545.2",0
2020-09-22 21:20:00,"1,159.2",0,241,"1,154.4",0
2020-09-22 21:15:00,"1,263.6",0,241,"1,260",0
2020-09-22 21:10:00,"1,798.8",0,241,"1,795.2",0
2020-09-22 21:05:00,"1,272",0,241,"1,267.2",0
2020-09-22 21:00:00,"2,125.2",0,241,"2,121.6",0
2020-09-22 20:55:00,"2,125.2",0,241,"2,121.6",0
2020-09-22 20:50:00,"1,371.6",0,241,"1,369.2",0
2020-09-22 20:45:00,"1,237.2",0,241,"1,233.6",0
2020-09-22 20:40:00,"1,371.6",0,241,"1,368",0
2020-09-22 20:35:00,"2,265.6",0,241,"2,262",0
2020-09-22 20:30:00,"4,837.2",0,241,"4,833.6",0
2020-09-22 20:25:00,"3,364.8",0,241,"3,361.2",0
2020-09-22 20:20:00,"3,778.8",0,241,"3,775.2",0
2020-09-22 20:15:00,"3,949.2",0,241,"3,945.6",0
2020-09-22 20:10:00,"3,198",0,241,"3,193.2",0
2020-09-22 20:05:00,"3,596.4",0,241,"3,591.6",0
2020-09-22 20:00:00,"3,174",0,241,"3,169.2",0
2020-09-22 19:55:00,"3,438",0,241,"3,433.2",0
2020-09-22 19:50:00,"3,747.6",0,241,"3,742.8",0
2020-09-22 19:45:00,"3,608.4",0,241,"3,603.6",0
2020-09-22 19:40:00,"3,950.4",0,241,"3,945.6",0
2020-09-22 19:35:00,"3,975.6",0,241,"3,970.8",0
2020-09-22 19:30:00,"3,304.8",0,241,"3,300",0
2020-09-22 19:25:00,"3,588",0,241,"3,584.4",0
2020-09-22 19:20:00,"3,655.2",0,241,"3,650.4",0
2020-09-22 19:15:00,"3,900",0,241,"3,895.2",0
2020-09-22 19:10:00,"3,915.6",0,241,"3,910.8",0
2020-09-22 19:05:00,"3,918",0,241,"3,913.2",0
2020-09-22 19:00:00,"3,025.2",0,241,"3,020.4",0
2020-09-22 18:55:00,"2,214",0,241,"2,210.4",0
2020-09-22 18:50:00,"1,771.2",0,241,"1,766.4",0
2020-09-22 18:45:00,"2,077.2",0,241,"2,073.6",0
2020-09-22 18:40:00,"1,845.6",0,241,"1,842",0
2020-09-22 18:35:00,"1,838.4",0,241,"1,833.6",0
2020-09-22 18:30:00,"2,246.4",0,241,"2,241.6",0
2020-09-22 18:25:00,"2,298",0,241,"2,281.2",0
2020-09-22 18:20:00,"2,148",0,241,"2,143.2",0
2020-09-22 18:15:00,"2,160",21.6,241,"2,134.8",0
2020-09-22 18:10:00,"1,644",85.2,241,"1,557.6",0
2020-09-22 18:05:00,"2,314.8",40.8,241,"2,271.6",0
2020-09-22 18:00:00,"1,788",38.4,241,"1,747.2",0
2020-09-22 17:55:00,"1,908",145.2,241,"1,761.6",0
2020-09-22 17:50:00,"1,990.8",272.4,241,"1,718.4",0
2020-09-22 17:45:00,"2,102.4",280.8,241,"1,821.6",0
2020-09-22 17:40:00,"2,016",294,241,"1,722",0
2020-09-22 17:35:00,"2,155.2",338.4,241,"1,816.8",0
2020-09-22 17:30:00,"1,695.6",331.2,241,"1,363.2",0
2020-09-22 17:25:00,"2,654.4",351.6,241,"2,301.6",0
2020-09-22 17:20:00,"3,626.4",375.6,241,"3,250.8",0
2020-09-22 17:15:00,"3,296.4",240,241,"3,056.4",0
2020-09-22 17:10:00,"1,922.4",418.8,241,"1,502.4",0
2020-09-22 17:05:00,"2,155.2",480,241,"1,675.2",0
2020-09-22 17:00:00,"2,271.6",427.2,241,"1,844.4",0
