Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-08-19 22:20:00,754.8,0,106,751.2,0
2020-08-19 22:15:00,705.6,0,106,700.8,0
2020-08-19 22:10:00,723.6,0,106,720,0
2020-08-19 22:05:00,792,0,106,788.4,0
2020-08-19 22:00:00,854.4,0,106,849.6,0
2020-08-19 21:55:00,873.6,0,106,868.8,0
2020-08-19 21:50:00,"1,252.8",0,106,"1,249.2",0
2020-08-19 21:45:00,801.6,0,106,796.8,0
2020-08-19 21:40:00,757.2,0,106,752.4,0
2020-08-19 21:35:00,696,0,106,692.4,0
2020-08-19 21:30:00,642,0,106,638.4,0
2020-08-19 21:25:00,682.8,0,106,679.2,0
2020-08-19 21:20:00,705.6,0,106,700.8,0
2020-08-19 21:15:00,763.2,0,106,758.4,0
2020-08-19 21:10:00,966,0,106,961.2,0
2020-08-19 21:05:00,736.8,0,106,732,0
2020-08-19 21:00:00,"1,471.2",0,106,"1,464",0
2020-08-19 20:55:00,729.6,0,106,721.2,0
2020-08-19 20:50:00,"1,364.4",14.4,106,"1,347.6",0
2020-08-19 20:45:00,"3,118.8",58.8,106,"3,058.8",0
2020-08-19 20:40:00,"2,598",121.2,106,"2,476.8",0
2020-08-19 20:35:00,"2,499.6",165.6,106,"2,334",0
2020-08-19 20:30:00,"2,685.6",163.2,106,"2,522.4",0
2020-08-19 20:25:00,"2,527.2",152.4,106,"2,376",0
2020-08-19 20:20:00,"2,532",159.6,106,"2,372.4",0
2020-08-19 20:15:00,"2,752.8",156,106,"2,595.6",0
2020-08-19 20:10:00,"2,712",176.4,106,"2,535.6",0
2020-08-19 20:05:00,"1,621.2",212.4,106,"1,408.8",0
2020-08-19 20:00:00,"1,756.8",220.8,106,"1,536",0
2020-08-19 19:55:00,"1,155.6",280.8,106,874.8,0
2020-08-19 19:50:00,652.8,296.4,106,356.4,0
2020-08-19 19:45:00,558,351.6,106,205.2,0
2020-08-19 19:40:00,586.8,360,106,226.8,0
2020-08-19 19:35:00,660,343.2,106,316.8,0
2020-08-19 19:30:00,666,370.8,106,295.2,0
2020-08-19 19:25:00,679.2,403.2,106,276,0
2020-08-19 19:20:00,718.8,558,106,162,0
2020-08-19 19:15:00,799.2,994.8,106,0,195.6
2020-08-19 19:10:00,"1,478.4","1,010.4",106,468,0
2020-08-19 19:05:00,"2,958",824.4,106,"2,133.6",0
2020-08-19 19:00:00,"4,328.4",709.2,106,"3,619.2",0
2020-08-19 18:55:00,"3,716.4",690,106,"3,026.4",0
2020-08-19 18:50:00,"4,332",583.2,106,"3,748.8",0
2020-08-19 18:45:00,"4,754.4",556.8,106,"4,197.6",0
2020-08-19 18:40:00,"4,813.2",597.6,106,"4,215.6",0
2020-08-19 18:35:00,"4,971.6","1,156.8",106,"3,814.8",0
2020-08-19 18:30:00,"4,796.4","2,254.8",106,"2,541.6",0
2020-08-19 18:25:00,"5,481.6","2,728.8",106,"2,751.6",0
2020-08-19 18:20:00,"5,277.6","3,016.8",106,"2,260.8",0
2020-08-19 18:15:00,"3,495.6","3,078",106,417.6,0
2020-08-19 18:10:00,"2,887.2","1,935.6",106,951.6,0
2020-08-19 18:05:00,"2,544","3,327.6",106,0,783.6
2020-08-19 18:00:00,"2,461.2","2,281.2",106,180,0
