Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-08-31 20:10:00,"2,530.8",0,170,"2,517.6",0
2020-08-31 20:05:00,"2,497.2",2.4,170,"2,488.8",0
2020-08-31 20:00:00,"1,394.4",15.6,170,"1,376.4",0
2020-08-31 19:55:00,703.2,32.4,170,666,0
2020-08-31 19:50:00,"1,316.4",61.2,170,"1,254",0
2020-08-31 19:45:00,"1,863.6",57.6,170,"1,804.8",0
2020-08-31 19:40:00,"1,720.8",91.2,170,"1,629.6",0
2020-08-31 19:35:00,763.2,114,170,649.2,0
2020-08-31 19:30:00,808.8,122.4,170,687.6,0
2020-08-31 19:25:00,714,130.8,170,583.2,0
2020-08-31 19:20:00,716.4,152.4,170,564,0
2020-08-31 19:15:00,948,189.6,170,758.4,0
2020-08-31 19:10:00,859.2,220.8,170,638.4,0
2020-08-31 19:05:00,"1,399.2",258,170,"1,141.2",0
2020-08-31 19:00:00,"1,857.6",302.4,170,"1,555.2",0
2020-08-31 18:55:00,"2,767.2",364.8,170,"2,403.6",0
2020-08-31 18:50:00,"3,417.6",392.4,136,"3,025.2",0
2020-08-31 18:45:00,"2,776.8",394.8,136,"2,383.2",0
2020-08-31 18:40:00,"2,521.2",412.8,136,"2,109.6",0
2020-08-31 18:35:00,"2,523.6",452.4,136,"2,072.4",0
2020-08-31 18:30:00,"2,670",490.8,136,"2,179.2",0
2020-08-31 18:25:00,"2,876.4",506.4,136,"2,370",0
2020-08-31 18:20:00,"3,390",534,136,"2,856",0
2020-08-31 18:15:00,"2,635.2",549.6,136,"2,084.4",0
2020-08-31 18:10:00,"3,207.6",540,136,"2,667.6",0
2020-08-31 18:05:00,"2,673.6",541.2,136,"2,132.4",0
2020-08-31 18:00:00,"1,928.4",585.6,136,"1,342.8",0
2020-08-31 17:55:00,"1,728","1,156.8",136,571.2,0
2020-08-31 17:50:00,"1,137.6","1,795.2",125,0,656.4
2020-08-31 17:45:00,"1,432.8","2,256",125,0,823.2
2020-08-31 17:40:00,"1,624.8","2,706",125,0,"1,081.2"
2020-08-31 17:35:00,553.2,"3,507.6",125,0,"2,955.6"
2020-08-31 17:30:00,"1,437.6","3,596.4",125,0,"2,160"
2020-08-31 17:25:00,"2,679.6","3,591.6",125,0,912
2020-08-31 17:20:00,"2,512.8","3,663.6",125,0,"1,150.8"
2020-08-31 17:15:00,"3,019.2","3,715.2",125,0,696
2020-08-31 17:10:00,"3,721.2","3,806.4",125,0,85.2
2020-08-31 17:05:00,"3,326.4","3,832.8",125,0,506.4
2020-08-31 17:00:00,"1,510.8","3,858",125,0,"2,347.2"
2020-08-31 16:55:00,"2,610","3,852",125,0,"1,243.2"
2020-08-31 16:50:00,"3,570","3,832.8",125,0,261.6
2020-08-31 16:45:00,"1,456.8","3,914.4",125,0,"2,457.6"
2020-08-31 16:40:00,847.2,"4,108.8",125,0,"3,261.6"
2020-08-31 16:35:00,"1,332","4,275.6",125,0,"2,943.6"
2020-08-31 16:30:00,"1,052.4","4,383.6",125,0,"3,331.2"
2020-08-31 16:25:00,"1,130.4","4,442.4",125,0,"3,312"
2020-08-31 16:20:00,"1,090.8","4,482",125,0,"3,392.4"
2020-08-31 16:15:00,211.2,"4,532.4",125,0,"4,321.2"
2020-08-31 16:10:00,374.4,"4,592.4",125,0,"4,218"
2020-08-31 16:05:00,513.6,"4,675.2",125,0,"4,161.6"
2020-08-31 16:00:00,500.4,"4,708.8",125,0,"4,208.4"
2020-08-31 15:55:00,630,"4,743.6",125,0,"4,113.6"
2020-08-31 15:50:00,439.2,"4,792.8",125,0,"4,354.8"
2020-08-31 15:45:00,380.4,"4,836",125,0,"4,455.6"
2020-08-31 15:40:00,"1,129.2","4,892.4",125,0,"3,763.2"
2020-08-31 15:35:00,193.2,"4,941.6",125,0,"4,748.4"
2020-08-31 15:30:00,430.8,"5,006.4",125,0,"4,575.6"
2020-08-31 15:25:00,590.4,"5,072.4",125,0,"4,482"
2020-08-31 15:20:00,451.2,"5,103.6",125,0,"4,652.4"
2020-08-31 15:15:00,414,"5,137.2",125,0,"4,723.2"
2020-08-31 15:10:00,588,"5,192.4",125,0,"4,603.2"
2020-08-31 15:05:00,756,"5,253.6",125,0,"4,497.6"
2020-08-31 15:00:00,"1,125.6","5,284.8",125,0,"4,159.2"
2020-08-31 14:55:00,272.4,"5,299.2",125,0,"5,026.8"
2020-08-31 14:50:00,483.6,"5,322",125,0,"4,838.4"
2020-08-31 14:45:00,"1,311.6","5,362.8",125,0,"4,051.2"
2020-08-31 14:40:00,"2,244","5,396.4",125,0,"3,151.2"
2020-08-31 14:35:00,819.6,"5,439.6",125,0,"4,620"
2020-08-31 14:30:00,"1,401.6","5,444.4",125,0,"4,044"
2020-08-31 14:25:00,"1,008","5,470.8",125,0,"4,462.8"
2020-08-31 14:20:00,"1,002","5,518.8",125,0,"4,518"
2020-08-31 14:15:00,192,"5,563.2",125,0,"5,371.2"
2020-08-31 14:10:00,213.6,"5,630.4",125,0,"5,416.8"
2020-08-31 14:05:00,595.2,"5,679.6",125,0,"5,085.6"
2020-08-31 14:00:00,"1,069.2","5,715.6",125,0,"4,645.2"
2020-08-31 13:55:00,"1,040.4","5,724",125,0,"4,684.8"
2020-08-31 13:50:00,"1,060.8","5,724",125,0,"4,663.2"
2020-08-31 13:45:00,"1,023.6","5,726.4",125,0,"4,702.8"
2020-08-31 13:40:00,"1,048.8","5,726.4",125,0,"4,677.6"
2020-08-31 13:35:00,"1,069.2","5,730",125,0,"4,660.8"
2020-08-31 13:30:00,"1,072.8","5,724",125,0,"4,651.2"
2020-08-31 13:25:00,"1,069.2","5,716.8",125,0,"4,647.6"
2020-08-31 13:20:00,"1,017.6","5,701.2",125,0,"4,682.4"
2020-08-31 13:15:00,"1,042.8","5,667.6",125,0,"4,624.8"
2020-08-31 13:10:00,"1,039.2","5,647.2",125,0,"4,609.2"
2020-08-31 13:05:00,994.8,"5,664",125,0,"4,669.2"
2020-08-31 13:00:00,985.2,"5,641.2",125,0,"4,656"
2020-08-31 12:55:00,213.6,"5,515.2",125,0,"5,301.6"
2020-08-31 12:50:00,211.2,"5,578.8",125,0,"5,367.6"
2020-08-31 12:45:00,888,"5,652",125,0,"4,764"
2020-08-31 12:40:00,"1,090.8","5,601.6",125,0,"4,510.8"
2020-08-31 12:35:00,183.6,"5,583.6",125,0,"5,398.8"
2020-08-31 12:30:00,210,"5,660.4",125,0,"5,449.2"
2020-08-31 12:25:00,213.6,"5,724",125,0,"5,510.4"
2020-08-31 12:20:00,213.6,"5,726.4",125,0,"5,511.6"
2020-08-31 12:15:00,207.6,"5,710.8",125,0,"5,503.2"
2020-08-31 12:10:00,183.6,"5,654.4",125,0,"5,470.8"
2020-08-31 12:05:00,183.6,"5,592",125,0,"5,409.6"
2020-08-31 12:00:00,186,"5,529.6",125,0,"5,344.8"
2020-08-31 11:55:00,212.4,"5,469.6",125,0,"5,257.2"
2020-08-31 11:50:00,213.6,"5,412",125,0,"5,198.4"
