Date,Consumption [W],Solar [W],Always on [W],Import [W],Export [W]
2020-07-18 23:55:00,"2,377.2",0,140,"2,373.6",0
2020-07-18 23:50:00,"1,312.8",0,140,"1,309.2",0
2020-07-18 23:45:00,624,0,140,620.4,0
2020-07-18 23:40:00,684,0,140,679.2,0
2020-07-18 23:35:00,696,0,140,692.4,0
2020-07-18 23:30:00,"1,293.6",0,140,"1,288.8",0
2020-07-18 23:25:00,"1,555.2",0,140,"1,551.6",0
2020-07-18 23:20:00,"1,282.8",0,140,"1,278",0
2020-07-18 23:15:00,532.8,0,140,529.2,0
2020-07-18 23:10:00,571.2,0,140,566.4,0
2020-07-18 23:05:00,601.2,0,140,597.6,0
2020-07-18 23:00:00,622.8,0,140,618,0
2020-07-18 22:55:00,632.4,0,140,627.6,0
2020-07-18 22:50:00,"1,188",0,140,"1,184.4",0
2020-07-18 22:45:00,"2,796",0,140,"2,791.2",0
2020-07-18 22:40:00,"2,662.8",0,140,"2,658",0
2020-07-18 22:35:00,558,0,140,553.2,0
2020-07-18 22:30:00,585.6,0,140,580.8,0
2020-07-18 22:25:00,606,0,140,601.2,0
2020-07-18 22:20:00,903.6,0,140,898.8,0
2020-07-18 22:15:00,"1,137.6",0,140,"1,132.8",0
2020-07-18 22:10:00,939.6,0,140,934.8,0
2020-07-18 22:05:00,"1,478.4",4.8,140,"1,467.6",0
2020-07-18 22:00:00,"1,348.8",22.8,140,"1,324.8",0
2020-07-18 21:55:00,583.2,72,140,511.2,0
2020-07-18 21:50:00,548.4,141.6,140,408,0
2020-07-18 21:45:00,494.4,183.6,140,310.8,0
2020-07-18 21:40:00,433.2,213.6,140,219.6,0
2020-07-18 21:35:00,464.4,210,140,254.4,0
2020-07-18 21:30:00,"1,026",253.2,140,772.8,0
2020-07-18 21:25:00,"2,683.2",375.6,140,"2,308.8",0
2020-07-18 21:20:00,"3,519.6",493.2,140,"3,026.4",0
2020-07-18 21:15:00,"2,875.2",583.2,140,"2,290.8",0
2020-07-18 21:10:00,"1,804.8",640.8,140,"1,164",0
2020-07-18 21:05:00,"1,294.8",705.6,140,589.2,0
2020-07-18 21:00:00,"1,038",835.2,140,202.8,0
2020-07-18 20:55:00,"2,608.8","1,064.4",140,"1,544.4",0
2020-07-18 20:50:00,"1,864.8","1,015.2",140,848.4,0
2020-07-18 20:45:00,"1,551.6",880.8,140,669.6,0
2020-07-18 20:40:00,"1,336.8",879.6,140,458.4,0
2020-07-18 20:35:00,498,960,140,0,463.2
2020-07-18 20:30:00,"1,562.4","1,104",140,458.4,0
2020-07-18 20:25:00,"3,385.2","1,144.8",140,"2,240.4",0
2020-07-18 20:20:00,"2,079.6","1,497.6",140,582,0
2020-07-18 20:15:00,820.8,"1,813.2",140,0,992.4
2020-07-18 20:10:00,732,"1,686",140,0,954
2020-07-18 20:05:00,"3,296.4","1,296",140,"2,000.4",0
2020-07-18 20:00:00,"2,899.2","1,040.4",140,"1,858.8",0
2020-07-18 19:55:00,"1,716","1,339.2",140,376.8,0
2020-07-18 19:50:00,"1,278","1,726.8",140,0,448.8
