,representasjonspunkt.epsg,representasjonspunkt.lat,representasjonspunkt.lon
0,EPSG:4258,60.37818706504946,5.329105842933658
0,EPSG:4258,60.08417885560016,6.527434643981903
0,EPSG:4258,60.4077001824423,5.478100918856834
0,EPSG:4258,60.43491924625216,5.282721972752528
0,EPSG:4258,60.33787072973761,5.348485838744206
0,EPSG:4258,60.39318028693456,5.315132142498099
0,EPSG:4258,60.35679670980446,5.122388367787535
0,EPSG:4258,60.40844376947683,5.2228878698041825
0,EPSG:4258,60.33503329394374,5.28634236196902
0,EPSG:4258,60.39159081219848,5.331113196211858
0,EPSG:4258,60.46375246862244,5.295895465780049
0,EPSG:4258,60.378284213302926,5.35908097743735
0,EPSG:4258,60.30119678656457,5.326900612124263
0,EPSG:4258,59.921093689317196,10.787699083717591
0,EPSG:4258,60.358036454454144,5.365732266156615
0,EPSG:4258,60.47065971437242,5.3180933635928245
0,EPSG:4258,60.386940447148596,5.344039962861216
0,EPSG:4258,60.35547170275163,5.362988364166614
0,EPSG:4258,60.36046296034917,5.372302323310985
0,EPSG:4258,60.36460107555305,5.365526837766582
0,EPSG:4258,60.29657337453268,5.320610885652009
0,EPSG:4258,60.3634148963416,5.177781583013378
0,EPSG:4258,60.349396018004704,5.359058534251012
0,EPSG:4258,60.468554845028976,5.306671454686019
0,EPSG:4258,60.409362003725086,5.328564813362608
0,EPSG:4258,60.4617909152345,5.361353485784518
0,EPSG:4258,60.52998946825534,5.136318538317369
0,EPSG:4258,60.39574631452407,5.31691254565056
0,EPSG:4258,60.39339154323209,5.170539595400478
0,EPSG:4258,60.32691065023803,5.267018565160593
0,EPSG:4258,60.35409440575151,5.365210006429524
0,EPSG:4258,60.50608314771025,5.354104819962756
0,EPSG:4258,60.425502631513794,5.301870823693884
0,EPSG:4258,60.43520112650204,5.472752937819105
0,EPSG:4258,60.40276278744094,5.322314221280588
0,EPSG:4258,60.425502631513794,5.301870823693884
0,EPSG:4258,60.48120510874138,5.272244599050323
0,EPSG:4258,60.40246202226606,4.993731710364651
0,EPSG:4258,60.38682936040826,5.348174618638952
0,EPSG:4258,60.37695471514425,5.328712747872515
0,EPSG:4258,60.359967701045235,5.356825929503757
0,EPSG:4258,60.52112743563853,5.093788744366351
0,EPSG:4258,60.50078498928092,5.437377084568341
0,EPSG:4258,60.460282258740044,5.332893137235454
0,EPSG:4258,60.47274175375893,5.351295485540303
0,EPSG:4258,60.42649528516361,5.293612372321563
0,EPSG:4258,60.29317418269729,5.34625331497768
0,EPSG:4258,60.40221081227219,5.32283078482136
0,EPSG:4258,60.37478001732287,5.338179364242342
0,EPSG:4258,60.396183455848885,5.3304504264039165
0,EPSG:4258,60.34745087317719,5.356627540135737
0,EPSG:4258,60.468475495571695,5.3602766754210185
0,EPSG:4258,60.35941131533898,5.355218833686324
0,EPSG:4258,60.44795970752173,5.460088942442562
0,EPSG:4258,60.36451007878249,5.352362369912676
0,EPSG:4258,60.47242038921962,5.474543083194999
0,EPSG:4258,60.33668238033303,5.304540612654939
0,EPSG:4258,60.39414273670138,5.333368603349336
0,EPSG:4258,60.36925675968623,4.993376726583913
0,EPSG:4258,60.382461583987926,5.317590094074438
0,EPSG:4258,60.33818935471028,5.354850887434972
0,EPSG:4258,60.39815975941377,5.326503680703701
0,EPSG:4258,60.30898621336402,5.32482941869092
0,EPSG:4258,60.47406819507831,5.321450407173651
0,EPSG:4258,60.34690323633954,5.393216374162214
0,EPSG:4258,60.387158876557315,5.326527640841085
0,EPSG:4258,60.46653149063535,5.361168133567682
0,EPSG:4258,60.362810304463636,5.289015073286036
0,EPSG:4258,60.38223430038918,5.362851929677579
0,EPSG:4258,60.37025905477912,4.992363043446652
0,EPSG:4258,60.38372454311028,5.3641018486650225
0,EPSG:4258,60.30743745477372,5.369150454869892
0,EPSG:4258,60.38445611081055,5.21510078409599
0,EPSG:4258,60.36917771326971,5.33742931972507
0,EPSG:4258,60.3339326879832,5.301660938092238
0,EPSG:4258,60.38460063184428,5.1478377904815344
0,EPSG:4258,60.279461534377454,5.35290699012385
0,EPSG:4258,60.391720145550494,5.336456498309148
0,EPSG:4258,60.37558225180535,5.1973959385358315
